EmpCode,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,Success (Y),Tried (E),Not Tried (N)
677509,09:36 - 16:38,N,09:36 - 16:41,09:30 - 16:54,09:40 - 16:40,09:34 - 16:40,N,09:42 - 16:49,N,09:41 - 16:43,09:45 - 16:43,09:42 - 16:37,09:42 - 16:39,09:44 - 16:42,09:37 - 16:43,N,09:42 - 16:44,09:42 - 16:42,09:32 - 16:46,09:46 - 16:39,N,09:37 - 16:36,N,09:40 - 16:54,09:39 - 16:40,09:39 - 16:38,09:38 - 16:40,09:35 - 16:42,09:36 - 16:41,23,0,6
940761,09:50 - 16:39,N,09:50 - 16:35,09:47 - 16:46,09:43 - 16:36,09:45 - 16:41,09:38 - 16:39,09:46 - 17:01,N,09:51 - 16:47,09:44 - 09:45,09:50 - 16:31,09:47 - 16:40,09:50 - 16:23,09:50 - 16:35,N,09:45 - 16:35,09:43 - 16:39,09:58 - 16:30,09:42 - 16:36,N,N,N,09:54 - 16:27,09:40 - 16:36,N,09:49 - 16:36,12:16 - 16:33,09:34 - 16:32,22,0,7
428945,N,N,09:36 - 16:38,09:39 - 16:39,09:30 - 16:45,09:41 - 16:36,09:41 - 16:38,09:31 - 13:10,N,09:41 - 16:36,09:40 - 09:41,09:38 - 16:30,09:43 - 16:43,09:28 - 16:42,09:36 - 16:29,N,09:42 - 16:37,09:37 - 16:43,09:40 - 16:46,09:51 - 16:37,N,16:36 - 00:00,N,09:39 - 16:41,09:34 - 16:48,09:39 - 16:37,09:45 - 16:35,09:32 - 16:42,09:43 - 00:00,23,0,6
408351,09:46 - 16:40,N,09:48 - 16:38,09:50 - 16:40,09:51 - 16:43,N,09:42 - 16:39,09:46 - 16:51,N,09:49 - 16:36,09:56 - 16:47,09:43 - 16:47,09:50 - 16:43,09:48 - 16:43,09:48 - 18:28,N,09:50 - 16:37,09:39 - 16:43,09:40 - 16:47,09:50 - 16:38,N,16:37 - 00:00,N,N,09:44 - 16:49,N,09:28 - 16:44,09:41 - 16:42,09:24 - 16:45,21,0,8
193819,11:10 - 00:00,N,10:11 - 00:00,N,10:11 - 00:00,N,14:15 - 00:00,N,N,13:27 - 00:00,09:58 - 00:00,08:21 - 00:00,10:37 - 00:00,N,N,N,08:17 - 00:00,08:21 - 00:00,09:48 - 00:00,10:05 - 00:00,N,10:32 - 00:00,N,09:58 - 00:00,10:17 - 16:36,10:14 - 00:00,09:57 - 00:00,09:55 - 17:26,09:51 - 16:58,19,0,10
499687,09:49 - 16:47,N,09:49 - 16:39,09:50 - 16:39,09:51 - 16:41,09:51 - 15:39,09:44 - 16:36,09:46 - 16:42,N,N,09:51 - 16:39,09:52 - 16:43,09:49 - 16:43,09:50 - 16:41,09:49 - 16:43,N,09:41 - 13:18,09:41 - 16:42,09:42 - 16:41,09:55 - 16:39,N,09:41 - 16:39,N,09:48 - 16:36,09:39 - 16:37,09:44 - 16:39,09:47 - 16:51,09:47 - 16:39,09:47 - 16:37,23,0,6
539712,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,29
380086,09:55 - 16:49,N,10:07 - 16:49,10:06 - 17:38,10:04 - 16:40,09:57 - 17:36,10:05 - 16:36,10:11 - 17:11,N,10:11 - 17:09,10:09 - 17:50,N,09:48 - 17:28,10:04 - 17:09,09:49 - 00:00,N,10:09 - 17:18,10:03 - 17:19,10:06 - 17:27,10:03 - 17:04,N,10:10 - 18:22,N,09:40 - 17:52,10:06 - 17:30,N,10:10 - 17:25,09:56 - 17:25,10:07 - 17:53,22,0,7
477616,09:34 - 13:18,N,09:22 - 16:40,09:39 - 16:40,09:31 - 16:38,09:24 - 16:35,09:33 - 16:33,09:34 - 00:00,N,09:38 - 16:43,10:18 - 16:38,09:29 - 16:33,09:27 - 16:41,09:28 - 16:42,09:36 - 00:00,N,09:40 - 16:31,09:27 - 16:38,09:22 - 16:45,09:21 - 16:38,N,09:22 - 16:42,N,09:20 - 16:40,09:51 - 16:42,09:35 - 16:41,N,09:24 - 16:34,09:31 - 16:36,23,0,6
162402,10:44 - 16:41,N,08:25 - 17:36,08:26 - 17:56,10:13 - 17:59,10:27 - 16:54,N,N,N,N,N,N,N,09:47 - 17:51,09:37 - 16:47,N,08:10 - 18:05,10:18 - 18:15,08:29 - 18:01,08:35 - 16:50,N,10:12 - 17:02,N,08:34 - 17:56,08:34 - 17:56,10:09 - 17:54,08:35 - 17:58,09:56 - 17:45,10:37 - 00:00,18,0,11
231469,09:50 - 14:17,N,09:46 - 14:23,09:48 - 14:02,09:50 - 14:04,09:51 - 14:34,09:51 - 13:58,09:47 - 14:11,N,09:47 - 14:03,09:55 - 13:57,09:44 - 14:08,09:49 - 14:11,N,09:47 - 14:00,N,09:48 - 14:14,09:49 - 14:09,09:48 - 14:11,09:46 - 14:23,N,09:49 - 14:36,N,09:49 - 14:38,09:48 - 14:02,09:49 - 14:24,09:49 - 14:08,N,09:48 - 14:20,22,0,7
153989,09:10 - 15:55,N,08:15 - 15:16,08:22 - 15:05,08:28 - 15:03,09:19 - 15:59,08:34 - 15:00,N,N,N,09:43 - 16:43,09:57 - 16:35,08:44 - 15:18,08:25 - 15:10,09:04 - 15:53,N,08:40 - 15:22,08:32 - 15:26,08:34 - 15:00,09:12 - 16:09,N,09:03 - 15:46,N,08:47 - 15:19,08:36 - 15:08,08:29 - 15:00,09:08 - 15:40,08:25 - 15:05,08:45 - 15:13,22,0,7
